"Actitis_hypoleucos","Actophilornis_africanus","Alcedo_cristata","Alopochen_aegyptiaca","Amaurornis_flavirostra","Anas_acuta","Anas_capensis","Anas_clypeata","Anas_erythrorhyncha","Anas_hottentota","Anas_querquedula","Anas_undulata","Anastomus_lamelligerus","Anhinga_rufa","Ardea_cinerea","Ardea_goliath","Ardea_melanocephala","Ardea_purpurea","Ardeola_ralloides","Arenaria_interpres","Balearica_regulorum","Bostrychia_hagedash","Bubulcus_ibis","Burhinus_vermiculatus","Butorides_striata","Calidris_alba","Calidris_ferruginea","Calidris_minuta","Casmerodius_albus","Ceryle_rudis","Charadrius_dubius","Charadrius_leschenaultii","Charadrius_marginatus","Charadrius_mongolus","Charadrius_pallidus","Charadrius_pecuarius","Charadrius_tricollaris","Chlidonias_hybrida","Chlidonias_leucopterus","Ciconia_ciconia","Ciconia_episcopus","Ciconia_nigra","Circus_aeruginosus","Circus_ranivorus","Dendrocygna_bicolor","Dendrocygna_viduata","Dromas_ardeola","Egretta_ardesiaca","Egretta_garzetta","Ephippiorhynchus_senegalensis","Fulica_cristata","Gallinago_gallinago","Gallinago_nigripennis","Gallinula_angulata","Gallinula_chloropus","Glareola_pratincola","Gorsachius_leuconotus","Halcyon_leucocephala","Haliaeetus_vocifer","Himantopus_himantopus","Larus_cirrocephalus","Larus_fuscus","Larus_hemprichii","Larus_ridibundus","Leptoptilos_crumeniferus","Limicola_falcinellus","Limosa_lapponica","Limosa_limosa","Megaceryle_maxima","Mesophoyx_intermedia","Mycteria_ibis","Netta_erythrophthalma","Numenius_arquata","Numenius_phaeopus","Nycticorax_nycticorax","Oxyura_maccoa","Pandion_haliaetus","Pelecanus_onocrotalus","Pelecanus_rufescens","Phalacrocorax_africanus","Phalacrocorax_carbo","Philomachus_pugnax","Phoeniconaias_minor","Phoenicopterus_roseus","Platalea_alba","Plectropterus_gambensis","Plegadis_falcinellus","Pluvialis_squatarola","Podiceps_cristatus","Podiceps_nigricollis","Porphyrio_porphyrio","Recurvirostra_avosetta","Rostratula_benghalensis","Sarkidiornis_melanotos","Scopus_umbretta","Sterna_bengalensis","Sterna_bergii","Sterna_caspia","Sterna_hirundo","Sterna_nilotica","Sterna_saundersi","Tachybaptus_ruficollis","Thalassornis_leuconotus","Threskiornis_aethiopicus","Tringa_erythropus","Tringa_glareola","Tringa_nebularia","Tringa_ochropus","Tringa_stagnatilis","Vanellus_armatus","Vanellus_coronatus","Vanellus_crassirostris","Vanellus_spinosus","Xenus_cinereus"
23.425213668,18.20512821,0.769230769,99.293803416,4.679487179,59.83333333,1.683760684,73.739316241,305.930555555,63.173076926,59.363247862,135.966880338,0,0,33.582264957,3.044871795,2.183760684,9.871794872,8.333333334,0,1.256410256,4.633547008,11.900641026,0,0,0,33.101851856,336.044159573,5.507478633,13.15491453,20.849358975,0,0,0,12.12962963,18.277777781,3.851851852,17.252136752,89.320512821,0.166666667,0,0,3.178418803,1.025641026,10.06410256,0,0,0.320512821,15.196225071,0.222222222,1911.173077,0,0.897435897,0,12.769230769,0,0,0,10.066239316,229.310541326,524.930199409,0,0,3.457264957,44.64814815,0,0,9.425213675,0.192307692,3.22542735,71.212962962,9.132478633,0,0,8.222222222,1.041666667,0.568376069,1148.525284801,4.922008547,55.070512817,200.89957261,240.641025663,1619.4444445,424.337606852,25.92022792,49.29487179,27.983974359,0,0,0,1.794871795,41.13532763,0,2.756410256,0.222222222,0,0,0,0,15.139245015,0,475.617521415,0,68.17521367,0.294871795,52.262820512,19.952991453,0.669871794,85.856481481,28.312321941,0,6.08974359,0.576923077,0
84.792735042,23.196581196,1.153846154,70.837606839,5.448717949,91.39423077,26.497151,45.729700853,15.040598291,70.983974363,5.901709401,49.790598288,0,0.064102564,21.523860397,4.407051282,0.478632478,6.730769231,4.884615384,0,0.478632478,5.384615384,76.072649567,0,0,0,108.707977209,577.47685185,9.15491453,24.174145296,37.15277778,0,0,0,5.185185185,14.280982905,9.661324786,23.979700857,15.99002849,3.333333333,0,0,1.846153846,0.576923077,0,0,0,1.423076923,44.126068377,0.128205128,695.451923067,0,1.521367521,0,1.08974359,0,0,0,10.554487179,194.175925894,474.620370415,0,0,10.123931624,2.008547008,0,0,25.961538463,0,3.98931624,25.007122506,2.264957265,0,0,1.739316239,2.416666666,2.064102564,2673.124999537,9.58974359,66.058760683,235.628205168,214.182692312,23253.240743333,592.583333403,42.330484333,1.987179487,16.941239316,0,0,0,0.961538462,81.400284901,0,1.282051282,0,0,0,0,0,85.99252137,0,507.44871798,0,55.131766388,0.400641025,42.40384615,10.025997152,0,73.487891739,49.194800564,0.333333333,16.28205128,2.235042735,0
21.997863248,22.696581192,1.025641026,50.980769235,12.474358974,9.465811966,46.565705128,14.136752136,6.220085471,68.853632472,9.341880342,26.618589747,0,0.064102564,11.463675214,2.371794872,0.175213675,5.128205128,6.397435897,0,0.555555556,3.79059829,5.612179487,0,0,0,4.688034188,197.229700877,6.284188034,5.688034188,9.41559829,0,0,0,0,14.937500005,4.423611112,125.473290604,56.380341885,0.055555556,0,0,1.411858975,1.282051282,6.538461538,0,0,0.61965812,11.941239317,0.064102564,462.943376012,0,0.055555556,0,2.136752137,0,0,0,7.765491453,53.016559828,181.70940171,0,0,6.08974359,8.773504274,0,0,2.273504273,0.192307692,2.115384616,14.080128205,16.833333333,0,0,0.111111111,8.333333333,2.320512821,285.4444444,3.619658119,65.08653846,69.557692306,173.676816247,55072.2083289,1397.221688366,5.511752137,0.384615385,37.871794873,0,0,63.18910256,0.47008547,66.034722217,0,0.384615385,0.215277778,0,0,0,0,13.068376073,0,159.946581191,0,10.64957265,0,15.625534189,3.316239316,0,42.65064102,31.503205124,0,7.756410256,8.548611111,0
8.641330891,7.097069597,1.193910257,196.169642893,3.782051282,261.790750888,122.959935897,19.634615385,356.825473113,144.495421239,24.375915753,48.820818071,0,3.076923077,10.426282051,1.362179487,2.623931624,0.705128205,4.47008547,0,1.12026862,6.418192919,20.274496337,0,0,0,19.19070513,527.752441939,10.436965812,2.665598291,16.205662393,0,0,0,0,6.568376068,13.46146215,212.703144043,63.548382173,0,0,0,0.845085469,0.256410256,46.913919418,5.119047619,0,1.717948718,23.463980463,0.064102564,545.01877291,2.692307692,0,0,3.448717949,0,0,0,4.533119659,222.947344316,201.194291815,0,0,0.119047619,34.492368745,0,0,12.612179487,0.128205128,4.989926741,6.08531746,25.480769233,0,0,1.016483516,16.25,1.064102564,33.216880345,17.483974358,29.411935282,53.332570209,301.442918209,106591.392091795,793.97542736,15.870726496,18.894230766,37.452380957,0,0,71.907051282,0.128205128,187.697115429,0,1.428571428,1.175213675,0,0,0,0,49.035256413,0,173.612484751,0.238095238,51.069062885,0.119047619,14.634539072,8.607905983,0,28.704288767,30.916666663,0.166666667,15.320512823,6.545329671,0
61.355998168,10.119658116,3.195970696,214.885454858,2.465811966,127.105158734,205.17129633,26.999999997,57.070207571,152.622100126,330.102564103,29.167124542,0,0,17.848265161,1.602564103,4.246260684,1.282051282,4.653846154,110.8333333,1.479242979,10.741758242,25.849002852,2.916666667,0,192.083333333,824.423076891,848.101216011,7.290242166,13.429487179,449.145426296,164.16666667,36.666666667,261.041666733,36.11111111,26.106481481,23.768086084,28.70652727,127.466956641,0,0,0,1.511752136,0,82.5,12.26190476,183.3333333,0.183760684,40.901811153,0.128205128,412.50457879,0.678418803,0,0,0.769230769,0,0,0,12.356303419,179.761217985,118.178113552,0,170.8333333,15.775641027,6.419998983,4.166666667,0,6.694444444,0,9.190883191,24.345543346,114.67765568,7.291666666,182.2916667,0,2.916666667,2.378205128,47.869836186,9.889245015,24.40705128,167.513888892,405.835241118,58484.7291713,932.463140967,48.675925921,9.583333333,13.408424909,213.749999967,0,190.961538428,0.128205128,111.712962962,0,0,0.270833334,131.875000003,30.000000003,19.375,0,48.438568376,427.29166667,81.69139194,0,28.760582007,1.366300367,19.025564713,70.630519938,5.030906594,148.199124944,51.102920235,0.277777778,7.307692308,13.713980465,10
4.907407408,0.277777778,0.381944445,10.166666666,0.277777778,0,63.724537034,81.111111111,8.534722223,8.645833333,5.555555555,14.444444449,0,0,2.351851852,0,0.277777778,0,0.555555556,0,1.166666667,0.833333334,6.000000001,0,0,0,47.314814811,540.710648086,1.833333334,0.277777778,10.763888889,0,0,0,24.81481481,9.224537037,0.611111111,4.166666667,0.518518519,0,0,0,1.625,0,0,0,0,0.222222222,10.685185186,0,59.222222223,0.111111111,0,0,8,0,0,0,3.513888889,82.442129624,7.462962963,0,0,2.277777778,10.108796296,0,0,0,0,0.277777778,1.592592593,0,0,0,0,0,0,20.583333336,1.5,0,0,146.23148148,29574.14352211,903.824074081,5.648148148,0,11.61111111,0,0,112.6041667,1.388888889,223.562499986,0,0,0.944444444,0,0,0,0,2.907407407,0,6.840277778,0,12.703703704,0,9.930555557,1.400462964,0.666666667,12.550925926,19.571759259,0.666666666,0,0,0
14.140873015,0.357142857,0.714285714,77.770833329,0.357142857,26.952380957,246.57936508,193.746031755,63.936507934,19.055555559,47.730158731,42.888888889,0.222222222,0,7.082010582,0,2.287698412,0,0.423280423,0,17.936507936,3.626984127,20.396825396,0,0,0,28.252314818,666.775793675,2.563492063,0.119047619,25.938161372,0,0,0,43.88888889,21.813492059,8.191798942,4.148148149,186.976190466,0.166666667,0,0,0.515873016,0,61.66666667,26.30952381,0,0,19.373015872,0.238095238,165.64285714,0.595238095,0,0,13,0,0,0,0.625,312.117063455,50.362433867,0,0,1.388888889,13.000000001,0,0,0.944444444,0,0.666666667,10.613756613,35.95238095,0,0,0,0,0,111.12731477,1.552910052,2.380952381,2.301587301,309.087301583,100129.046293,1396.8981485,19.132275132,2.261904762,4.888888888,0,0,384.7916667,0,351.500000044,0,0.238095238,0.293650794,0,0,0,0,8.981481482,0,139.128968211,0,55.793320108,0.535714286,47.608796297,6.468584656,1.349206349,18.597883602,17.839285713,0.801587301,0.357142857,10.882936508,0
24.478835981,0.912698413,1.488095238,113.521825405,0.357142857,2.984126985,36.301587297,17.484126985,4.563492065,39.666666667,84.238095237,19.73015873,0,0,21.281746035,0,6.515873016,0,0,0,5.452380952,6.551587302,28.293650796,0,0,0,88.277777771,232.485449704,1.571428572,5.17063492,52.967592593,0.833333333,5,0.416666667,41.38888889,12.016865077,0.555555556,35.293650789,14.896825399,0.222222222,0,0,0.515873016,0,8.69047619,12.886904762,0,0,8.644179895,0,14.095238095,7,0,0,0,0,0,0,0.111111111,89.992063489,81.214285713,5,2.5,4.063492063,10.77744709,0,0,0.555555556,0,0,2.185185186,1.428571429,0,1.25,0,0.277777778,0,48.162037036,22.571428572,0.357142857,8.449404761,416.944444452,84547.472216,842.78240744,19.576719575,0,4.452380952,0.416666667,0,20.10416667,0.277777778,115.055555511,0,0.119047619,2.978174602,1.666666667,1.25,0,0,27.817129627,0,2.396825397,1.666666667,31.436507935,0.104166667,11.70734127,25.580687827,0.785714285,21.00925926,28.235449735,0.111111111,0,7.607142858,0
57.045634923,8.190476191,2.738095238,459.268849185,2.825396825,13.680555556,335.713293687,142.158730141,120.255952374,38.450396825,12.257936507,190.063492061,0,0.119047619,29.863095234,0.166666667,12.197420635,0.388888889,9.527777778,0,13.658730158,24.025793655,68.368055557,0,0,0,5.055555555,114.750000004,14.261904761,3.009920635,21.203373015,0,0,0,0,38.834325401,6.461309524,20.357142853,40.444444442,1,0,1.904761905,8.261904762,0.5,12.357142856,43.25396826,0,0.111111111,27.448412698,0.23015873,836.87301596,2.460317459,1.222222222,0,25.301587306,0,0.111111111,0,1.472222222,292.71031742,95.222222217,0,0,1.896825397,15.373015876,0,0,10.180555556,0.166666667,23.865079362,60.033730164,65.656746032,0,0,12.83333333,0.277777778,0.111111111,315.819444449,19.333333334,7.198412699,290.914682504,100.118055557,141347.03468886,610.284722186,27.58531746,9.007936508,56.007936509,0,1.055555556,121.94444444,13.444444445,36.236111107,0,1.166666667,2.033730159,0,0,0,0,17.652777773,0,851.872023827,19.087301592,172.914682566,0,25.623015873,26.761904765,2.25,42.825396818,61.883928566,3.634920635,0.388888889,7.909722223,0
75.81112637,8.397435898,2.513202076,121.640567764,4.712454213,3.214285714,61.621794871,310.589133136,54.541285103,79.772435893,82.147893778,65.166056163,0,0.064102564,22.578067765,1.602564103,4.186202686,2.307692308,3.987179488,0,3.204517704,13.95734127,101.475732599,0,0,0,8.868589744,586.823107494,6.69047619,8.596459097,22.606913918,0,0,0,0.166666667,43.618666055,26.103632483,275.881105027,15.65338828,5.333333334,0,1.30952381,1.014423078,0,16.727716733,12.380952381,0,0,17.665445666,0.128205128,935.032051199,2.094017094,0.128205128,0,15.495726496,0,0,0,7.650106838,269.442765588,212.540903542,0,0,0.388888889,32.010225889,0,0,13.97435897,0.576923077,6.413461538,28.134920631,346.748473767,0,0,0.119047619,2.111111111,0.320512821,293.24145304,30.773199025,29.782661783,880.986721645,217.285943225,107177.538462608,1529.734508593,25.626831504,0,27.085470084,0,0.111111111,290.225961572,2.042735043,32.188034186,0,0,1.510531135,0,0,0,0,21.583333331,0,442.15369349,1.666666667,99.484203297,0,12.946810134,15.212301587,1.876984126,164.447573217,40.708791216,0.461538461,10.06410256,18.711080586,0
